VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1747157754373	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157754607842000.png
Drone1	1747157754436	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157754671546400.png
Drone1	1747157754508	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157754735366100.png
Drone1	1747157754565	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157754799583600.png
Drone1	1747157754628	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157754863355500.png
Drone1	1747157754694	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157754930785800.png
Drone1	1747157754760	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157754995130200.png
Drone1	1747157754823	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157755060572100.png
Drone1	1747157754886	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157755122536800.png
Drone1	1747157754949	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157755186814100.png
Drone1	1747157755024	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157755249888700.png
Drone1	1747157755078	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157755313052500.png
Drone1	1747157755141	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157755377271500.png
Drone1	1747157755204	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157755441628300.png
Drone1	1747157755282	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157755508122900.png
Drone1	1747157755336	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157755573164700.png
Drone1	1747157755399	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157755636294200.png
Drone1	1747157755465	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157755700604500.png
Drone1	1747157755531	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157755767348300.png
Drone1	1747157755597	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157755832359900.png
Drone1	1747157755660	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157755897422400.png
Drone1	1747157755723	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157755961053500.png
Drone1	1747157755795	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157756023380600.png
Drone1	1747157755849	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157756086188900.png
Drone1	1747157755906	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157756144392900.png
Drone1	1747157755969	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157756206157200.png
Drone1	1747157756041	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157756266208200.png
Drone1	1747157756092	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157756327856700.png
Drone1	1747157756149	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157756385609500.png
Drone1	1747157756209	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157756447321800.png
Drone1	1747157756272	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157756507823600.png
Drone1	1747157756332	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157756568945300.png
Drone1	1747157756395	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157756633007800.png
Drone1	1747157756458	9.989	4.9224	0.666571	0.989924	0	0	-0.141603	img_Drone1__0_1747157756695582600.png
